Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
58	0.7050116	0.27272314	0.92940056	0.7680221	1.5258803	-0.52630806	13.657343	0.72655135	0.4046338	1.5035785	-0.72114265	472000	0.0	0.19224007	-0.033712056	-0.13550356	1.6917	0.0150778685	0.18125	47.0	67.39171600341797
59	0.69874316	0.29467788	0.92545265	0.7906503	1.5218217	-0.5914733	12.872517	0.78834116	0.36865577	1.5837828	-0.50387555	480000	-1.1175871e-08	0.15882987	-0.038325913	-0.099085525	1.6376314	0.014941631	0.198625	79.0	68.55748772621155
60	0.61978054	0.3534338	0.81082016	0.8137183	1.5333934	-0.5665718	12.330189	0.77985585	0.38888186	1.4433798	-0.7337327	488000	-1.4901161e-08	0.1851732	-0.039019864	-0.10378753	1.6238437	0.011640865	0.195875	79.0	69.7789580821991
61	0.72491616	0.2446917	0.9843805	0.76529264	1.5396703	-0.73788875	13.339655	0.7727129	0.38446805	1.5196598	-0.6982024	496000	1.1175871e-08	0.18696755	-0.037304517	-0.1200727	1.5901499	0.013281241	0.18675	79.0	70.9196150302887
62	0.68722177	0.30652827	0.90160686	0.8051443	1.5315135	-0.7732305	12.283654	0.79995275	0.41356513	1.5453534	-0.7787263	504000	1.4901161e-08	0.09778132	-0.037230648	-0.051914267	1.5893213	0.01262884	0.177125	79.0	72.11765933036804
63	0.7192408	0.25331557	0.9621357	0.7835273	1.532187	-0.72006994	12.947987	0.80134857	0.41602576	1.499095	-0.567205	512000	3.7252903e-09	0.110597536	-0.03374256	-0.06441865	1.5808538	0.015088189	0.17125	56.0	73.17330193519592
64	0.7593967	0.21756414	1.0474343	0.7182434	1.5240428	-0.451847	13.222789	0.8616876	0.33246148	1.4080535	-0.59507406	520000	-5.5879354e-09	0.13409398	-0.033961702	-0.08423984	1.5088873	0.0150085725	0.189125	57.0	74.25845217704773
65	0.75796276	0.19665033	1.0382868	0.7120071	1.549317	-0.42834008	13.70922	0.82288927	0.34836587	1.5500951	-0.68803173	528000	-5.5879354e-09	0.14582112	-0.036937214	-0.08238235	1.5404644	0.014597466	0.19187501	79.0	75.39210271835327
66	0.7857123	0.21428771	1.0767835	0.70150733	1.5291569	-0.4707058	13.398276	0.830463	0.3239345	1.4138854	-0.5016053	536000	-3.7252903e-09	0.14883137	-0.034630977	-0.097673886	1.5295004	0.015019501	0.185	62.0	76.49481320381165
67	0.70712495	0.27081624	0.9478507	0.7585472	1.5183702	-0.36896452	12.833881	0.87401134	0.29888418	1.4259757	-0.49070424	544000	-7.450581e-09	0.15443808	-0.039674785	-0.092201	1.5385588	0.0148629155	0.20525	79.0	77.63451504707336
68	0.7490071	0.23582746	1.0316806	0.72442484	1.5281403	-0.38325372	12.85906	0.8339635	0.3420817	1.378928	-0.7900423	552000	-1.8626451e-09	0.13053522	-0.03699319	-0.079307035	1.5074384	0.0127400765	0.17275	79.0	78.80192804336548
