Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
61	0.67681384	0.24357307	0.92175484	0.74717337	1.5132499	-0.7303722	15.242775	0.70565426	0.28696042	1.4024578	-0.5512184	1984000	3.1823292e-05	0.1897254	0.017647615	-0.013215754	-0.055839382	1.72782	0.009863036	0.09825	79.0	1751.4234309196472
62	0.6477141	0.2686895	0.87327164	0.7706178	1.5333048	-0.8128962	14.615314	0.68218917	0.3193553	1.4768131	-0.5156167	2016000	-5.2701682e-05	0.17279291	0.0174188	-0.01236529	-0.047345646	1.7074363	0.008892752	0.093062505	79.0	1780.8475213050842
63	0.5943799	0.3315981	0.7854322	0.7858464	1.5252265	-0.41456842	13.952548	0.6681643	0.32432377	1.4939715	-0.48641452	2048000	-3.9713457e-05	0.21411163	0.017372504	-0.013396775	-0.08523279	1.7009252	0.008490753	0.096375	79.0	1810.2962868213654
64	0.6191764	0.32829255	0.81521136	0.787586	1.5167656	-0.6906664	13.730502	0.6451941	0.33909547	1.4640857	-0.5480105	2080000	0.00015130639	0.20041844	0.017205607	-0.012621606	-0.067533895	1.686899	0.007167032	0.08546875	79.0	1839.736010313034
65	0.6476095	0.28976277	0.87135834	0.7644759	1.5237311	-0.46376985	14.382008	0.7052084	0.31928456	1.6952031	-0.37024945	2112000	1.6130507e-05	0.19650218	0.01687035	-0.012567819	-0.052063752	1.6482098	0.0071767364	0.08446875	79.0	1869.1836216449738
66	0.6294565	0.32937425	0.84336364	0.77131546	1.5185846	-0.40907478	13.75173	0.68961143	0.2937899	1.505632	-0.364363	2144000	-6.2238425e-05	0.19096634	0.016751464	-0.011402396	-0.046932377	1.6366436	0.007165988	0.078093745	79.0	1898.678789615631
67	0.7125592	0.24328987	0.9737783	0.729536	1.518589	-0.4515516	14.523853	0.7261387	0.28640404	1.4892223	-0.6531495	2176000	-6.0647726e-06	0.17171837	0.016346825	-0.011338745	-0.051680766	1.6007743	0.0070724487	0.081125006	79.0	1928.1164436340332
68	0.6993172	0.24971646	0.9544403	0.74485075	1.5184647	-0.84768146	14.380218	0.7330975	0.28362748	1.454471	-0.4868013	2208000	3.414508e-05	0.1720826	0.016331663	-0.012350887	-0.052124176	1.5980277	0.008685481	0.08871875	79.0	1957.491497516632
69	0.6532788	0.28656036	0.888704	0.7791363	1.5334091	-0.70440465	13.664802	0.72151256	0.32256043	1.4849983	-0.7758714	2240000	-6.250199e-05	0.16826808	0.015976906	-0.01227211	-0.04851645	1.5623235	0.0067538787	0.087843746	79.0	1986.966566324234
70	0.6272719	0.30777788	0.8459898	0.78016007	1.5278428	-0.70165646	13.952277	0.6529245	0.34882775	1.5455182	-0.50440353	2272000	4.4380315e-05	0.17940556	0.01618691	-0.0129175335	-0.052207604	1.5805097	0.008884931	0.09153125	79.0	2016.351223230362
